first,second,third,fourth,english
anmerken,merkt an,merkte an,angemerkt,"to notice, add, let show"
aufziehen,zieht auf,zog auf,aufgezogen,"to open, raise, wind"
ausnehmen,nimmt aus,nahm aus,ausgenommen,"to exempt, gut"
benehmen,benimmt,benahm,benommen,"to behave"
beten,betet,betete,gebetet,"to pray"
bohren,bohrt,bohrte,gebohrt,"to drill"
braten,brät,briet,gebraten,"to fry, roast"
bremsen,bremst,bremste,gebremst,"to brake, slow down"
dulden,duldet,duldete,geduldet,"to tolerate"
durchgehen,durchgeht,durchging,durchgangen,"to go through"
einholen,holt ein,holte ein,eingeholt,"to pull in, ask for, catch up"
erkundigen,erkundigt,erkundigte,erkundigt,"to inquire"
installieren,installiert,installierte,installiert,"to install"
konzipieren,konzipiert,konzipierte,konzipiert,"to plan, design"
loslassen,lässt los,ließ los,losgelassen,"to let go"
protestieren,protestiert,protestierte,protestiert,"to protest"
repräsentieren,repräsentiert,repräsentierte,repräsentiert,"to represent"
schimpfen,schimpft,schimpfte,geschimpft,"to scold, grumble"
schreiten,schreitet,schritt,geschritten,"to stride, walk"
spannen,spannt,spannte,gespannt,"to stretch, tighten"
täuschen,täuscht,täuschte,getäuscht,"to deceive, be mistaken"
überfordern,überfordert,überforderte,überfordert,"to overtax, be too much"
umstellen,stellt um,stellte um,umgestellt,"to rearrange, adjust, switch"
verfassen,verfasst,verfasste,verfasst,"to draw up, write"
vertiefen,vertieft,vertiefte,vertieft,"to deepen, become absorbed"
vorherrschen,herrscht vor,herrschte vor,vorgeherrscht,"to predominate"
wegnehmen,nimmt weg,nahm weg,weggenommen,"to take away"
zurückgreifen,greift zurück,griff zurück,zurückgegriffen,"to fall back"
angehören,gehört an,gehörte an,angehört,"to belong"
antun,tut an,tat an,angetan,"to do sth to sb"
anvertrauen,vertraut an,vertraute an,anvertraut,"to entrust, confide"
aufräumen,räumt auf,räumte auf,aufgeräumt,"to tidy up, clear up"
entgehen,entgeht,entging,entgangen,"to escape"
festsetzen,setzt fest,setzte fest,festgesetzt,"to determine"
herausgeben,gibt heraus,gab heraus,herausgegeben,"to publish, give change, hand out"
inszenieren,inszeniert,inszenierte,inszeniert,"to stage"
mahnen,mahnt,mahnte,gemahnt,"to warn, urge"
reflektieren,reflektiert,reflektierte,reflektiert,to reflect
schleichen,schleicht,schlich,geschlichen,"to creep, prowl, sneak"
segeln,segelt,segelte,gesegelt,"to sail"
streben,strebt,strebte,gestrebt,"to strive"
trocknen,trocknet,trocknete,getrocknet,"to dry"
überholen,überholt,überholte,überholt,"to pass, overhaul"
unterstellen,unterstellt,unterstellte,unterstellt,"to put in charge, imply, store"
verbrauchen,verbraucht,verbrauchte,verbraucht,"to use, consume"
vernachlässigen,vernachlässigt,vernachlässigte,vernachlässigt,"to neglect"
vorbeigehen,geht vorbei,ging vorbei,vorbeigegangen,"to go past, pass"
vortragen,trägt vor,trug vor,vorgetragen,"to present, perform"
